0x87111da0,r_cmdbuf_worker
0x204f6c54,g_TeamIcon_Allies
0x5bf22a8f,g_TeamIcon_Axis
0x5bf4ce5c,g_TeamIcon_Free
0x674e314f,g_TeamIcon_Spectator
0xf6ab9ac5,g_ScoresColor_MyTeam
0x16a945fd,g_ScoresColor_EnemyTeam
0x3642e36d,g_ScoresColor_Spectator
0xb9ec35ba,g_ScoresColor_Free
0xd9be2332,g_ScoresColor_Allies
0xb9e991ed,g_ScoresColor_Axis
0x8d1f0a47,g_customTeamName_Allies
0x4c4bafc2,g_customTeamName_Axis
0xd710d865,g_customTeamName_Three
0x7bc0766c,g_TeamName_Allies
0x1ae9cea7,g_TeamName_Axis
0x7972d3ea,g_TeamName_Three
0x82854c4a,g_TeamColor_Allies
0xec239505,g_TeamColor_Axis
0x9f72c3dd,g_TeamColor_MyTeam
0xf498f815,g_TeamColor_EnemyTeam
0x2d9abdbe,g_TeamColor_MyTeamAlt
0x55a326f6,g_TeamColor_EnemyTeamAlt
0x71992f60,g_TeamColor_Party
0x14329585,g_TeamColor_Spectator
0xec2638d2,g_TeamColor_Free
0x4f3ac40f,g_debugLocDamage
0x5f884c4c,g_debugLocDamageEntity
0xc54fb315,g_debugLocHit
0x7dae9ea4,g_debugLocHitTime
0x4afc3d2c,g_no_script_spam
0x8371fc22,g_friendlyfireDist
0x7204f1fd,g_friendlyNameDist
0xea2590b3,melee_debug
0x10d5d4d1,radius_damage_debug
0xc4fa62ba,player_throwbackInnerRadius
0xbc5b402d,player_throwbackOuterRadius
0x45ad9153,player_throwbackOuterRadius_zm
0xefd45fa6,player_useRadius
0x03c8aa2c,player_useRadius_zm
0x630648da,player_MGUseRadius
0xdf156a59,vehicle_useRadius
0x222107b5,g_minGrenadeDamageSpeed
0x2c1277e8,g_compassShowEnemies
0x6b585811,pickupPrints
0x613c0bd9,g_dumpAnims
0xb7b64d0b,g_dumpAnimsCommands
0x11cfcd17,g_useholdspawndelay
0x908bdba7,g_redCrosshairs
0xe524bde0,g_mantleBlockTimeBuffer
0xba822d92,g_vehicleDebug
0xad6996c1,vehGunnerSplashDamage
0x14960a70,g_quadrotorFlyHeight
0x942e58e9,g_avoidEnabled
0x86553053,turretPlayerAvoidScale
0x52a0edcf,g_vehiclePlaneCurveTime
0xe8684f57,g_actorAndVehicleAntilag
0x832d22be,g_actorAndVehicleAntilagDebug
0xb764c692,g_broadcastLocalSound
0x521a778e,vehicle_collision_prediction_time
0xbaf177f9,vehHelicopterHoverSpeedThreshold
0xa8f24a9d,vehHelicopterRightStickDeadzone
0x6a326686,vehHelicopterStrafeDeadzone
0x8fe822aa,vehHelicopterScaleMovement
0x03dd6498,vehHelicopterYawAltitudeControls
0x8922b372,vehHelicopterSoftCollisions
0x7864000c,vehHelicopterInvertUpDown
0xdfce882e,vehHelicopterYawOnLeftStick
0xb7a5bcfd,vehHelicopterTiltFromViewangles
0xef1ab05e,vehHelicopterPathTransitionTime
0xe812a98e,vehHelicopterFreeLook
0x1b673854,vehHelicopterDefaultPitch
0x37212bc9,vehHelicopterRotDecel
0x5e7c6be4,vehHelicopterMinHeightLockOffset
0xaa4e2ee6,vehHelicopterMaxHeightLockOffset
0x54b2c6ee,vehHelicopterLookaheadTime
0x760db45f,vehHelicopterboundsOn
0xf4ea7e1c,vehHelicopterboundMapUpperLeftX
0xf4ea7e1d,vehHelicopterboundMapUpperLeftY
0x1b9c174c,vehHelicopterboundMapLowerRightX
0x1b9c174d,vehHelicopterboundMapLowerRightY
0x7cc8f2e6,vehHelicopterboundMapHeight
0xd60c8b21,vehPlaneAssistedFlying
0x8b66b306,vehPlaneConventionalFlight
0x458375aa,vehPlaneSpeedControl
0x2867604f,vehPlanePlayerAvoidance
0x96b01dca,vehPlaneTurnAssistDecayRate
0x570f64d6,turret_KillstreakTargetTime
0xbd86b505,turret_SentryTargetTime
0xf3552066,turret_TargetLeadBias
0x370075af,missileHellfireMaxSlope
0xe7e81a43,missileHellfireUpAccel
0x56304cb7,missileJavClimbHeightDirect
0x586dac8f,missileJavClimbHeightTop
0x50aaadc5,missileJavClimbAngleDirect
0xa9f6f85d,missileJavClimbAngleTop
0x692e33b9,missileJavClimbCeilingDirect
0xd4b322d1,missileJavClimbCeilingTop
0xfe39992c,missileJavTurnRateDirect
0xd98c4524,missileJavTurnRateTop
0x81ed14fb,missileJavAccelClimb
0xeedbf4aa,missileJavAccelDescend
0x151afa73,missileJavSpeedLimitClimb
0x05191822,missileJavSpeedLimitDescend
0x9ed5eb42,missileJavTurnDecel
0x694fc9d1,missileJavClimbToOwner
0xc84228ce,missileDroneClimbHeightDirect
0xf38c2806,missileDroneClimbHeightTop
0x2d55e2fc,missileDroneClimbAngleDirect
0xa6e860f4,missileDroneClimbAngleTop
0x1d7b92b0,missileDroneClimbCeilingDirect
0xd3a10d28,missileDroneClimbCeilingTop
0x99077a5b,missileDroneTurnRateDecent
0x93055786,missileDroneTurnRateAscent
0x09faecd2,missileDroneTurnRateAvoidance
0x1770dd53,missileDroneTurnRateSmallAdjustments
0x1e554299,missileDroneflattenRollRatio
0xac8be0c8,missileDroneDistanceAvoidance
0xdfef8263,missileDroneDistanceAvoidanceSec
0x1309aa14,missileDroneDistSqTargetAvoidanceDisabled
0x7478d97b,missileDroneTurnMaxRoll
0xf6b286c1,missileDroneTurnMaxRollChange
0x74789eee,missileDroneTurnMaxRate
0x82c26cf2,missileDroneAccelClimb
0x7a672661,missileDroneAccelDescend
0x1408e4ca,missileDroneSpeedLimitClimb
0x772af439,missileDroneSpeedLimitDescend
0xb9f37754,missileDroneClimbMaxDist
0x7fd4a059,missileDroneTurnDecel
0xf4dafb88,missileDroneClimbToOwner
0x8531af79,missileWaterMaxDepth
0xd7477ddf,missileTVGuidedStickDeadzone
0xfd5aabcc,missileTVGuidedTurnRate
0xb983fbe9,missilePlantableSize
0xa865c45a,missileMolotovBlobNum
0xb5216739,missileMolotovBlobTime
0xb471b19e,missileTVGuidedBoost
0x2129cb14,missileTVGuidedBoostSpeedUp
0x12bf9927,missileTVGuidedBoostSpeedDown
0xdeb6b29d,missileTVGuidedMaxRollAngle
0x5a0c59ef,missileTVGuidedTurningRollAccel
0x963739d4,missileTVGuidedFlatteningRollAccel
0xc3fe1b1a,missileTVGuidedMPSpecific
0xbfd92c26,grenadeRestThreshold
0xae9a851d,grenadeRollingEnabled
0x3f44b4ab,grenadeFrictionLow
0x27d8fd59,grenadeFrictionHigh
0xec2fefcd,grenadeFrictionMaxThresh
0xbddf009d,grenadeBumpFreq
0xa8a9c644,grenadeBumpMag
0xa8a9c655,grenadeBumpMax
0xfc25b8a4,grenadeWobbleFreq
0x9cd05bac,grenadeWobbleFwdMag
0xfee47dd0,grenadeWobbleSideMag
0xdb6f499d,grenadeWobbleSideDamp
0xb6369186,grenadeCurveMax
0xe6a14be7,grenadeBounceRestitutionMax
0x81ddb107,airburstAdjustDistance
0x111b02a5,dynEnt_damageRadiusScale
0xa5386aed,dynEnt_shouldCullEntitiesForSplitscreen
0xf44b1795,g_connectpaths
0xfeff67df,g_removeRedundantLinks
0x240a82fb,g_ignoreVisData
0x9e8d2dd2,bg_viewKickScale
0xe60d3190,bg_viewKickMax
0xe60d328e,bg_viewKickMin
0x6dc08f0b,bg_viewKickRandom
0x3265daa2,bg_movingPlatformPitchScale
0x7974ab07,bg_chargeShotAutoDischargeDelay
0xa05e31f7,bg_chargeShotDischargeWhenQueueReachesMax
0xf58cf0ed,bg_chargeShotDamageIncreasePerBullet
0x7862794b,bg_chargeShotViewKickIncreasePerBullet
0xe624a709,bg_chargeShotQueueTime
0x93cfdd45,bg_chargeShotPenetrationMultiplier
0xf7a39b72,bg_chargeShotMaxBulletsInQueue
0xa1b45a53,bg_chargeShotFireWhenQueueReachesMax
0xe898933c,bg_chargeShotUseOneAmmoForMultipleBullets
0xd8f3eec3,bg_chargeShotAutoFireDelay
0x3f0a87b8,bg_chargeShotMaxViewKick
0x7e8e1783,bg_chargeShotCenterSpeedReductionPerBullet
0xdc82772b,bg_chargeShotMinCenterSpeed
0x9daf83a7,bg_chargeShotMaxBulletQueueOnEMP
0x1d9b0ee7,player_view_pitch_up
0xf0911dba,player_view_pitch_down
0x7ea7234e,player_lean_shift
0x1909a7d1,player_lean_shift_crouch
0x51bb033f,player_lean_rotate
0x1b260ea2,player_lean_rotate_crouch
0xaa00ca5d,bg_ladder_yawcap
0xe99bf295,bg_prone_yawcap
0x8e9f125d,bg_foliagesnd_minspeed
0x3e20c29f,bg_foliagesnd_maxspeed
0x0080eeb2,bg_foliagesnd_slowinterval
0x7bde587b,bg_foliagesnd_fastinterval
0xef8f5e50,bg_foliagesnd_resetinterval
0xa651b120,scr_team_fftype
0xbc64df08,bg_fallDamageMinHeight
0x5c1c978a,bg_fallDamageMaxHeight
0xe18bb6e3,friction
0xc1fa099c,stopspeed
0xa556ceb1,cg_ufo_scaler
0xe8707266,bg_swingSpeed
0xec7975ea,bg_proneSwingSpeed
0x84a9abb3,bg_legYawTolerance
0x98de6157,bg_legYawCrouchTolerance
0xb8379857,bg_legYawProneTolerance
0xc79b899e,bg_viewBobAmplitudeSprinting
0x0f2edbe8,bg_viewBobAmplitudeDtp
0x6944a16b,bg_viewBobAmplitudeSwimming
0x6fb9cf38,bg_viewBobAmplitudeStanding
0xf2bbce30,bg_viewBobAmplitudeStandingAds
0x6110ff10,bg_viewBobAmplitudeDucked
0x12ef0f08,bg_viewBobAmplitudeDuckedAds
0x972d8d84,bg_viewBobAmplitudeProne
0xf511f0d9,bg_viewBobAmplitudeRoll
0x15c2c686,bg_bobMax
0xa94483c2,bg_forceDurationOverride
0xfd4ee5c1,bg_blendTimeOverride
0x848cc10d,bg_weaponBobAmplitudeSprinting
0xaf62ec17,bg_weaponBobAmplitudeDtp
0x0a2526fa,bg_weaponBobAmplitudeSwimming
0x109a54c7,bg_weaponBobAmplitudeStanding
0x8da4d4df,bg_weaponBobAmplitudeDucked
0x14a66573,bg_weaponBobAmplitudeProne
0x9bc806e8,bg_weaponBobAmplitudeRoll
0xad746cac,bg_weaponBobAmplitudeRiding
0x33e4ee41,bg_weaponBobAmplitudeBaseLaser
0x5cc215bf,bg_weaponBobAmplitudeRollLaser
0xb37a7570,bg_weaponBobMax
0xb37a711e,bg_weaponBobLag
0x93f6fec7,bg_weaponBobFrequencySwimming
0x44c11d47,bg_weaponBobHeavyWeaponScalar
0x452ad916,bg_forceExplosiveBullets
0x5038f351,bg_weaponOffscreenReloadScale
0x7fc5a238,bg_aimSpreadMoveSpeedThreshold
0x33cd2f17,bg_maxGrenadeIndicatorSpeed
0x78f5dac0,bg_forceAnimOverrideTimerCheck
0x54be814e,disableLookAtEntityLogic
0x8708b27b,player_breath_hold_time
0x5dc82dff,player_breath_gasp_time
0x7a80b5ba,player_breath_fire_delay
0x16b85958,player_breath_gasp_scale
0x87043f1f,player_breath_hold_lerp
0x5dc3baa3,player_breath_gasp_lerp
0xabecd2fd,player_breath_snd_lerp
0x28f65399,player_breath_snd_delay
0x33021f61,player_scopeExitOnDamage
0x81d3e7b2,player_adsExitDelay
0x5b284f38,player_move_factor_on_torso
0x60ddbaae,player_debugHealth
0x7711b3c2,player_sustainAmmo
0x02679adb,player_clipSizeMultiplier
0x661a27e2,player_lastStandBleedoutTime
0xa148ffd0,player_lastStandBleedoutTimeNoRevive
0x19519796,revive_time_taken
0x30bb6d26,player_lastStandHealthOverlayTime
0x327ba51e,player_reviveTriggerRadius
0x101a31ca,player_revivePlayerListCycleTime
0x1899dd7b,bg_vsmode_hud
0x63315a9d,player_enableShuffleAnims
0xac07b120,player_animRunThreshhold
0x9698f3fa,player_animWalkThreshhold
0xa89bb4a8,player_runbkThreshhold
0x19923f1d,player_moveThreshhold
0x36022bad,player_footstepsThreshhold
0x8aaa39db,player_runThreshhold
0xbabb8d64,player_knockbackMoveThreshhold
0xca4662c6,player_sprintThreshhold
0xcae178ed,player_waterSpeedScale
0xf72c9158,player_sliding_friction
0x58137f06,player_sliding_wishspeed
0x1b029e5c,player_sliding_velocity_cap
0x02aa1e0f,player_strafeSpeedScale
0x33016b9b,player_backSpeedScale
0x930aa0c7,player_strafeAnimCosAngle
0xfbac4900,player_slopeAnimAngle
0x1c321603,player_spectateSpeedScale
0xcc0fe69f,player_enduranceSpeedScale
0xe1b103f0,player_zombieSpeedScale
0xba5486e2,player_sprintForwardMinimum
0x488e3cea,player_sprintSpeedScale
0x85056d7c,player_sprintUnlimited
0xeedbf8c0,player_sprintTime
0xb2a6b6c4,player_sprintMinTime
0xd295e7f0,player_sprintRechargePause
0xf683c80f,player_sprintStrafeSpeedScale
0x98e9126d,player_sprintCameraBob
0x33418672,player_turnAnims
0x882c4124,player_bayonetLaunchProof
0x0959566a,player_bayonetLaunchDebugging
0x232d5b2c,player_bayonetLaunchZCap
0x357c3abd,player_standingViewHeight
0x8920799f,player_disableWeaponsOnVehicle
0x24c8c560,player_lookAtEntityAllowChildren
0x0bf841a9,player_dmgtimer_timePerPoint
0x72b4329e,player_dmgtimer_maxTime
0x19a34195,player_dmgtimer_minScale
0xbd6fc894,player_dmgtimer_stumbleTime
0x32fc2bcc,player_dmgtimer_flinchTime
0x1c64ee67,bg_shock_soundLoop
0x88782216,bg_shock_soundLoopSilent
0x5df36d24,bg_shock_soundEnd
0xab2c30fc,bg_shock_soundEndAbort
0xbc181046,bg_shock_screenType
0x0369b90d,bg_shock_screenBlurBlendTime
0x3c60e89d,bg_shock_screenBlurBlendFadeTime
0x73c0c0b2,bg_shock_screenFlashWhiteFadeTime
0x103d9ecf,bg_shock_screenFlashShotFadeTime
0x8cb9b6a4,bg_shock_viewKickPeriod
0x9113f969,bg_shock_viewKickRadius
0x1298f2a0,bg_shock_viewKickFadeTime
0x5374900d,bg_shock_sound
0x84e12363,bg_shock_soundFadeInTime
0xff3d1144,bg_shock_soundFadeOutTime
0x0d392f06,bg_shock_soundLoopFadeTime
0x0992290d,bg_shock_soundLoopEndDelay
0x120a2b2c,bg_shock_soundRoomType
0x24987314,bg_shock_soundDryLevel
0xb91c5ed5,bg_shock_soundWetLevel
0x678e4ff3,bg_shock_soundModEndDelay
0x90deff3d,bg_shock_soundSnapshot
0x5e17047a,bg_shock_lookControl
0xd94c8e28,bg_shock_lookControl_maxpitchspeed
0x910b02e1,bg_shock_lookControl_maxyawspeed
0x7965c475,bg_shock_lookControl_mousesensitivityscale
0xb72766b8,bg_shock_lookControl_fadeTime
0xd61fab6f,bg_shock_movement
0x612125c4,bg_shock_animation
0x44b4ff28,bg_shock_visionset_name
0x3b36d2ad,bg_shock_visionset_inTime
0x8048a9ce,bg_shock_visionset_outTime
0x02a2d146,player_meleeRange
0x030185f9,player_meleeWidth
0x3fef08b2,player_meleeHeight
0x1cb54bc2,player_meleeInterruptFrac
0xa609217a,player_meleeChargeMaxSpeed
0x94141ff8,player_meleeCalcSpeedFromTarget
0x28bdb281,player_meleeChargeFriction
0x5a4ce110,player_bayonetRange
0x695c3f1e,player_bayonetTargetDist
0x55f139d3,bg_gravity
0x116b50a5,bg_lowGravity
0x6d8d6a6c,bg_moonGravity
0xc8c5b700,player_swimTime
0xeb2c2590,player_swimDamage
0xf982bf27,player_swimDamagerInterval
0x989e32fc,player_viewLockEnt
0x17de0520,player_viewRateScale
0x3404d3a9,player_forceRedCrosshair
0x6ec6096b,bullet_penetrationMinFxDist
0xf4d2861a,bullet_ricochetBaseChance
0xa4ff89ce,cg_cinematicFullscreen
0x35a52fe5,dog_MeleeDamage
0x83bc2b16,dog_turn90_angle
0x91e9b846,dog_turn180_angle
0xc1f1399f,dog_turn_min_goal_dist
0xb57111a2,vehLockTurretToPlayerView
0x393e622d,vehLocationalVehicleSeatEntry
0xcf5fad41,vehicle_riding
0xf04b1ffa,vehicle_selfCollision
0x59e25d81,bg_shieldHitEncodeWidthWorld
0xf63b4fda,bg_shieldHitEncodeHeightWorld
0xe1837a7c,bg_shieldHitEncodeWidthVM
0x10ece375,bg_shieldHitEncodeHeightVM
0x5b58d602,bg_disableWeaponPlantingInWater
0xe2d868db,bg_plantInWaterDepth
0x7fc11116,bg_gunXOffset
0xa5536aee,bg_slopeFrames
0xfbf5426e,disable_rope
0xd30db9e6,vehicle_sounds_cutoff
0x3ba5817a,footstep_sounds_cutoff
0x72156156,bg_teleportAlignTime
0xdc170968,waterbrush_entity
0xf4ae66c6,playerPushAmount
0x4e90ede7,scr_player_sprinttime
0xbac14ffe,scr_dynamic_source_loading
0x7336a666,bg_vehicle_ground_min_normal
0x09e56f28,bg_vehicle_ground_max_normal
0xe69201e8,bg_vehicle_slide_min_normal
0xa279ff78,bg_vehicle_pitch_track
0x54b94999,bg_vehicle_roll_track
0x018b6c29,bg_vehicle_max_pitch
0xc1fda8ea,bg_vehicle_max_roll
0x4c14e7b6,bg_vehicle_max_body_pitch
0x024f66d7,bg_vehicle_max_body_roll
0x08c21a72,bg_vehicle_gravity
0x47bb8fa1,bg_vehicle_trace_offset
0xc005d550,bg_vehicle_overclip
0x0883fc47,bg_vehicle_tangential_clip_vel_scale
0xdad788c6,bg_vehicle_tangential_clip_max_scale
0xd6fd39c3,bg_vehicle_stepsize
0x640c513c,bg_vehicle_sphere_bounds_offset_z
0xe0314c49,turret_placement_trace_maxs
0xe0316d07,turret_placement_trace_mins
0xfb2a7006,turretplacement_useTraceOffset
0x656b4419,turretplacement_traceOffset
0x7d3e7879,jump_height
0x67905337,jump_stepSize
0xf5012724,jump_slowdownEnable
0x55edbf33,jump_ladderPushVel
0x7656dc68,jump_spreadAdd
0xc6340b6c,mantle_enable
0x2cb444ec,mantle_debug
0xb3e7a1cf,mantle_check_range
0x5b1c0fac,mantle_adjustment_tu
0xd743260b,mantle_check_range_mp
0x30d66aea,mantle_check_radius
0xb2bb0509,mantle_check_angle
0x7ef6a72b,mantle_check_glass_extra_range
0xb2bbcfe4,mantle_view_yawcap
0x0eedab07,mantle_weapon_height
0x9c7ac26b,mantle_weapon_anim_height
0x0671c64c,vehicle_push_during_mantle
0xbaa3771c,prone_bipod_enable
0x3c282e51,hatch_mantle_up
0xc12db9ed,hatch_mantle_fwd
0x0b886bad,dtp
0xbc486287,dtp_max_slide_duration
0xbacd664d,dtp_max_slide_addition
0x482810ed,dtp_startup_delay
0xcaafeda5,dtp_post_move_pause
0x45a41e44,dtp_fall_damage_min_height
0xdc52e706,dtp_fall_damage_max_height
0xc3c2374b,dtp_exhaustion_window
0xee594700,dtp_min_speed
0x8a6ca03b,door_breach_weapondrop
0xe905783c,dtp_new_trajectory
0xa5b9cc42,dtp_new_trajectory_multiplier
0xb49afce4,dtp_max_apex_duration
0x92c2bf78,shieldImpactBulletShakeScale
0xd527a516,shieldImpactBulletShakeDuration
0xf81f2cc6,shieldImpactMissileShakeScale
0xc8f3b7a4,shieldImpactMissileShakeDuration
0x7330da83,shieldImpactExplosionLowShakeScale
0x15a9e841,shieldImpactExplosionLowShakeDuration
0x15801531,shieldImpactExplosionHighShakeScale
0xe9c64c2f,shieldImpactExplosionHighShakeDuration
0x89e2526a,shieldImpactExplosionThreshold
0xb3ade5ff,shieldDeployShakeScale
0xe753123d,shieldDeployShakeDuration
0xc320348d,riotshield_deploy_limit_radius
0xbb6f1de8,riotshield_bullet_damage_scale
0x88d773ff,riotshield_explosive_damage_scale
0x23526a28,riotshield_melee_damage_scale
0x19faa051,riotshield_projectile_damage_scale
0xaa9b5326,riotshield_deployed_health
0x0217c6c3,riotshield_destroyed_cleanup_time
0x2db5e224,riotshield_deploy_pitch_max
0xb4c054a5,riotshield_deploy_roll_max
0xd563d05f,riotshield_deploy_zdiff_max
0xb7c82ba0,riotshield_assist_time
0x8576e701,riotshield_damage_score_threshold
0x08b73f7a,riotshield_damage_score_max
0x6a76099c,shieldBlastDamageProtection_30
0x6a7609ff,shieldBlastDamageProtection_60
0xb937350c,shieldBlastDamageProtection_120
0xb93735d2,shieldBlastDamageProtection_180
0x3c7c8479,shieldPlayerBulletProtectionDegrees
0xb78d3ad3,vehanim_enable
0xa861a373,vehanim_debug
0x3ecbe23c,perk_weapSwitchMultiplier
0xbf2eca49,perk_weapSpreadMultiplier
0x651cf261,perk_weapReloadMultiplier
0x80aa3a76,perk_weapRateMultiplier
0x1c43f3e2,perk_weapAdsMultiplier
0x8162b4b2,perk_weapMeleeMultiplier
0x687bbef3,perk_weapTossMultiplier
0xa76eac6f,perk_weapEquipmentUseMultiplier
0xd1cabd70,perk_extraBreath
0x738e704e,perk_bulletPenetrationMultiplier
0xb9ddd532,perk_grenadeDeath
0xf5e3419d,perk_sprintMultiplier
0x5df05b07,perk_grenadeTossBackTimer
0x9159e179,perk_killstreakReduction
0x37067e05,perk_killstreakMomentumMultiplier
0x0ab51496,perk_killstreakDeathPenaltyMultiplier
0xaacd4273,perk_delayExplosiveTime
0x773b1ee4,perk_disarmExplosiveTime
0x2948ea4e,perk_speedMultiplier
0x25e82970,perk_deathStreakCountRequired
0x2928426c,perk_sprintRecoveryMultiplier
0xc55b3bc4,perk_healthRegenMultiplier
0xda125e04,perk_damageKickReduction
0x4e723ab3,perk_shellShockReduction
0x083502a4,perk_mantleReduction
0x7104c528,perk_interactSpeedMultiplier
0xbbef7fff,perk_throwbackInnerRadius
0x24c240a6,perk_flakJacket
0x5317a62d,perk_flakJacket_hardcore
0xded1b162,perk_fireproof
0x4ed23e88,perk_armorPiercing
0x813107e0,perk_dogsAttackGhost
0xe394558e,perk_blackbirdShowsGpsJammer
0x9298991e,perk_fastLadderClimbMultiplier
0xb081eaf6,perk_marksmanEnemyNameFadeIn
0xc0bf6497,perk_marksmanEnemyNameFadeOut
0x7a4a1f4f,perk_gpsjammer_min_speed
0x0e39d2c9,perk_gpsjammer_min_distance
0xec6135ec,perk_gpsjammer_time_period
0x1c81e2f3,perk_gpsjammer_graceperiods
0x71c54201,perk_gpsjammer_alpha
0xf3a54ef9,perk_gpsjammer_fade_time
0x38b8120f,perk_nottargetedbyai_min_speed
0xdc453540,perk_nottargetedbyai_graceperiod
0x7665a2a1,perk_scavenger_clip_multiplier
0xe1ed1600,perk_scavenger_lethal_proc
0x02e81d2b,perk_scavenger_tactical_proc
0xf3f631f2,bg_aqs
0x675fe823,bg_aqsStyle
0xf3f63045,bg_ads
0x8006f08d,enable_global_wind
0x2872a47c,enable_grass_wind
